Word,Length,Freq_HAL,Log_Freq_HAL,MorphSp,POS
CATHODOLUMINESCENT,18,0,0,NULL,NULL
AUTOSUGGESTIBILITY,18,0,0,NULL,NN
autobiographically,18,3,1.1,<auto<{bio--graph--ic}>al>>ly>,RB
transcendentalists,18,38,3.64,{transcend}>ent>>al>>ist>>s>,NN
telecommunications,18,22078,10,<tele<{commun--ic--ate}>ion>>s>,NN
oversimplification,18,285,5.65,<over<{simple}>ify>>ation>,NN
overcapitalization,18,1,0,<over<{capit--al}>ise>>ation>,NN
misrepresentations,18,256,5.55,<mis<{represent}>ation>>s>,NN
intercommunication,18,18,2.89,<inter<{commun--ic--ate}>ion>,NN
interconnectedness,18,91,4.51,<inter<{connect}>ed>>ness>,NN
interrelationships,18,113,4.73,<inter<{relate}>ion>>ship>>s>,NN
electrocardiograph,18,9,2.2,<electro<{cardi--ograph},NN
disproportionately,18,462,6.14,<dis<{pro--portion}>ate>>ly>,RB
disenfranchisement,18,71,4.26,<dis<<en<{franchise}>ment>,NN
Congregationalists,18,19,2.94,{con--greg--ate}>ion>>al>>ist>>s>,NN
characteristically,18,176,5.17,{character}>istic>>ally>,RB
arteriolosclerosis,18,0,0,NULL,NULL
antifundamentalist,18,0,0,{anti}{funda--ment}>al>>ist>,JJ|NN
ALKYLARYSULFONATE,17,0,0,NULL,NULL
unceremoniousness,17,0,0,<un<{ceremon--y}>ous>>ness>,NN
unpretentiousness,17,3,1.1,<un<{pretent--ious}>ness>,NN
transubstantiated,17,2,0.69,NULL,VB
transubstantiates,17,1,0,NULL,NULL
tintinnabulations,17,0,0,{tintinnabul--ate}>ion>>s>,NN
THERMOGRAVIMETRIC,17,27,3.3,{therm--o}{gravi--metr--ic},JJ
tenderheartedness,17,0,0,{tender}{heart}>ed>>ness>,NN
superconductivity,17,247,5.51,<super<{con--duct}>ive>>ity>,NN
surreptitiousness,17,0,0,{surreptitious}{ness},NN
straightforwardly,17,66,4.19,{straight}{for--ward}>ly>,RB
SPECTROPHOTOMETER,17,94,4.54,<spectro<{photo--meter},NN
schizophrenically,17,1,0,{schizophren--ic}>ally>,RB
sanctimoniousness,17,6,1.79,{sanct--imony}>ous>>ness>,NN
remilitarizations,17,0,0,<re<{militar--ize}>ation>>s>,NN
psychokinetically,17,4,1.39,{psycho}{kine--tic}>ally>,RB
psychosomatically,17,1,0,{psycho--soma--tic}>ally>,RB
quatercentenaries,17,0,0,NULL,NULL
predeterminations,17,0,0,<pre<{determine}>ation>>s>,NN
prestidigitations,17,0,0,{presti--digit--ate}>ion>>s>,NN
plenipotentiaries,17,3,1.1,{pleni--pot--ent--iary}>s>,NN
philanthropically,17,1,0,{phil--anthrope}>ic>>ally>,RB
particularization,17,15,2.71,{particul--ar}>ise>>ation>,NN
paternalistically,17,7,1.95,{patern--al}>ist>>ic>{ally},NN|VB
nationalistically,17,0,0,{nation}>al>>ist>>ic>>ally>,RB
multimillionaires,17,14,2.64,<multi<{million}>aire>>s>,NN
multitudinousness,17,0,0,{multi--tude}>inous>>ness>,NN
misappropriations,17,9,2.2,<mis<{a--ppropri--ate}>ion>>s>,NN
miscellaneousness,17,0,0,{miscellane--ous}>ness>,NN
mispronunciations,17,15,2.71,<mis<{pro--nounce}>ation>>s>,NN
materialistically,17,12,2.48,{material}>ist>>ic>>ally>,RB
MECHANOCHEMICALLY,17,0,0,NULL,NULL
MACROPATHOLOGICAL,17,0,0,{macro}{path--olog--ic}>al>,JJ
latitudinarianism,17,0,0,NULL,NN
kaleidoscopically,17,1,0,{kaleido--scope}>ic>>al>>ly>,RB
intercommunicated,17,0,0,<inter<{commun--ic--ate}>ed>,VB
intercommunicates,17,0,0,<inter<{commun--ic--ate}>s>,VB
internationalizes,17,1,0,<inter<{nation}>al>>ise>>s>,VB
indistinguishably,17,21,3.04,<in<{distinguish}>able>>y>,RB
instantaneousness,17,2,0.69,{inst--ant--aneous}>ness>,NN
institutionalizes,17,12,2.48,{in--stitute}>ion>>al>>ise>>s>,VB
imperialistically,17,5,1.61,{imperi--al}>ist>>ic>>ally>,RB
impracticableness,17,0,0,<in<{pract--ic--able}>ness>,NN
impressionability,17,1,0,{im--press}>ion>>able>>ity>,NN
incompatibilities,17,850,6.75,<in<{compatible}>ity>>s>,NN
inconsequentially,17,8,2.08,<in<{consequ--ence}>ial>>ly>,RB
inconsiderateness,17,2,0.69,<in<{consider}>ate>>ness>,NN
inconspicuousness,17,0,0,<in<{conspicuous}>ness>,NN
indecipherability,17,0,0,NULL,NN
indestructibility,17,14,2.64,<in<{de--struct}>able>>ity>,NN
hydroelectrically,17,0,0,<hydro<{electr--ic}>al>>ly>,RB
HYPOPHYSECTOMISED,17,0,0,NULL,NULL
horticulturalists,17,18,2.89,{horti--culture}>al>>ist>>s>,NN
HEXAMETAPHOSPHATE,17,1,0,NULL,NULL
environmentalists,17,889,6.79,{environ}>ment>>al>>ist>>s>,NN
disinterestedness,17,7,1.95,<dis<{interest}>ed>>ness>,NN
dispassionateness,17,2,0.69,NULL,NN
disqualifications,17,90,4.5,<dis<{qualify}>ation>>s>,NN
DIETHYLAMINOETHYL,17,2,0.69,NULL,NULL
DIPHOSPHOPYRIDINE,17,0,0,NULL,NULL
disadvantageously,17,1,0,<dis<{advantage}>ous>>ly>,RB
declassifications,17,0,0,<de<{class}>ify>>ation>>s>,NN
DEMYTHOLOGIZATION,17,1,0,<de<{myth}>olog--iz>>ation>,NN
denationalization,17,77,4.34,<de<{nation}>al>>ise>>ation>,NN
cryptographically,17,196,5.28,{crypt--ograph--ic}>al>>ly>,RB
counteroffensives,17,1,0,<counter<{offense}>ive>>s>,NN
consubstantiating,17,0,0,NULL,VB
consubstantiation,17,4,1.39,<con<{substance}>ate>>ion>,NN
contemporaneously,17,24,3.18,{con--tempor--aneous}>ly>,RB
contradistinguish,17,2,0.69,<contra<{distinguish},VB
contraindications,17,354,5.87,<contra<{indic--ate}>ion>>s>,NN
conventionalities,17,0,0,{con--ven--tion}>al>>ity>>s>,NN
comprehensiveness,17,60,4.09,{com--prehend}>ive>>ness>,NN
comprehensibility,17,52,3.95,{com--prehend}>able>>ity>,NN
confidentialities,17,2,0.69,{confide}>ence>>ial>>ity>>s>,NN
conscientiousness,17,20,3,{consc--ient--ious}>ness>,NN
collaborationists,17,1,0,{col--labor--ate}>ion>>ist>>s>,NN
compartmentalized,17,73,4.29,{compartment}>al>>ise>>ed>,VB|JJ
compartmentalizes,17,3,1.1,{compartment}>al>>ise>>s>,VB
circumnavigations,17,2,0.69,<circum<{navig--ate}>ion>>s>,NN
CHLORTETRACYCLINE,17,12,2.48,NULL,NN
anthropologically,17,21,3.04,{anthropo--log--ical}>ly>,RB
untrustworthiness,17,15,2.71,<un<{trust}>worth--y>>ness>,NN
transcendentalism,17,15,2.71,{transcend}>ent>>al>>ism>,NN
transcendentalist,17,52,3.95,{transcend}>ent>>al>>ist>,NN|JJ
thermodynamically,17,66,4.19,<thermo<{dynam--ic}>ally>,RB
reproducibilities,17,0,0,<re<{pro--duce}>able>>ity>>s>,NN
psychotherapeutic,17,57,4.04,<psycho<{therapeutic},JJ
photoluminescence,17,2,0.69,<photo<{lumin--esce}>ence>,NN
nondiscriminatory,17,72,4.28,<non<{discrimin--ate}>ory>,JJ
misinterpretation,17,468,6.15,<mis<{interpret}>ation>,NN
misrepresentation,17,723,6.58,<mis<{represent}>ation>,NN
misunderstandings,17,926,6.83,<mis<{understand}>ing>>s>,NN
maladministration,17,30,3.4,{mal}{administr--ate}>ion>,NN
jurisprudentially,17,7,1.95,NULL,RB
interdepartmental,17,67,4.2,<inter<{department}>al>,JJ
interdisciplinary,17,1270,7.15,<inter<{discipline}>ary>,JJ
intergovernmental,17,370,5.91,<inter<{govern}>ment>>al>,JJ
internationalists,17,119,4.78,<inter<{nation}>al>>ist>>s>,NN
internationalized,17,101,4.62,<inter<{nation}>al>>ise>>ed>,VB|JJ
interrelationship,17,64,4.16,<inter<{relate}>ion>>ship>,NN
intradepartmental,17,0,0,<intra<{department}>al>,JJ
institutionalized,17,598,6.39,{in--stitute}>ion>>al>>ise>>ed>,VB|JJ
instrumentalities,17,26,3.26,{instrument}>al>>ity>>s>,NN
indistinguishable,17,1250,7.13,<in<{distinguish}>able>,JJ
individualization,17,21,3.04,{in--divid--ual}>ise>>ation>,NN
industrialization,17,294,5.68,{industry}>al>>ise>>ation>,NN
inappropriateness,17,70,4.25,<in<{a--ppropri--ate}>ness>,NN
electrocardiogram,17,26,3.26,<electro<{cardi--ogram},NN
depersonalization,17,223,5.41,<de<{person}>al>>ise>>ation>,NN
crystallographers,17,19,2.94,{crystal}>ograph--er>>s>,NN
controversialists,17,1,0,{contro--versy}>al>>ist>>s>,NN
conversationalist,17,98,4.58,{converse}>ation>>al>>ist>,NN|JJ
counterattraction,17,0,0,<counter<{attract}>ion>,NN
Congregationalism,17,2,0.69,{con--greg--ate}>ion>>al>>ism>,NN
Congregationalist,17,14,2.64,{con--greg--ate}>ion>>al>>ist>,NN
constitutionalize,17,1,0,{con--stitute}>ion>>al>>ise>,VB
constitutionalism,17,88,4.48,{con--stitute}>ion>>al>>ism>,NN
constitutionalist,17,35,3.56,{con--stitute}>ion>>al>>ist>,NN|JJ
contradistinction,17,27,3.3,<contra<{distinct}>ion>,NN
conceptualization,17,108,4.68,{con--cept}>ual>>ise>>ation>,NN
commercialization,17,832,6.72,{commerce}>ial>>ise>>ation>,NN
characterizations,17,430,6.06,{character}>ise>>ation>>s>,NN
cardiovasculatory,17,0,0,NULL,NULL
bureaucratization,17,15,2.71,{bureau--crat}>ise>>ation>,NN
anachronistically,17,8,2.08,{ana--chron--istic}>ally>,RB
acquaintanceships,17,0,0,{acquaint}>ance>>ship>>s>,NN
Weltanschauungen,16,8,2.08,NULL,NULL
uncompromisingly,16,12,2.48,<un<{compromise}>ing>>ly>,RB
undenominational,16,0,0,<un<{de--nomin--ate}>ion>>al>,JJ
undernourishment,16,2,0.69,<under<{nourish}>ment>,NN
undersecretaries,16,15,2.71,<under<{secretary}>s>,NN
UNDERSECRETARY'S,16,0,0,{under}{secretary}>'s>,encl
unpleasantnesses,16,19,2.94,<un<{pleas--ant}>ness>>s>,NN
unprofessionally,16,36,3.58,<un<{profess--ion}>al>>ly>,RB
unreasonableness,16,14,2.64,<un<{reason}>able>>ness>,NN
unscrupulousness,16,5,1.61,<un<{scrupul--ous}>ness>,NN
transcendentally,16,24,3.18,{transcend}>ent>>al>>ly>,RB
transfigurations,16,33,3.5,<trans<{figure}>ation>>s>,NN
transliterations,16,45,3.81,{trans--liter--ate}>ion>>s>,NN
transplantations,16,8,2.08,<trans<{plant}>ation>>s>,NN
transubstantiate,16,4,1.39,NULL,VB
TRIPHENYLSTIBINE,16,0,0,NULL,NULL
TRIPOLYPHOSPHATE,16,4,1.39,NULL,NULL
tintinnabulation,16,0,0,{tintinnabul--ate}>ion>,NN
telephotographic,16,0,0,NULL,JJ
terminologically,16,0,0,{termin--olog--ical}>ly>,RB
susceptibilities,16,27,3.3,{sus--cept--ible}>ity>>s>,NN
synchronizations,16,7,1.95,{syn--chron--ize}>ation>>s>,NN
SUBSTERILIZATION,16,0,0,{sub}{sterile}>ise>>ation>,NN
SULFAQUINOXALINE,16,0,0,NULL,NULL
superciliousness,16,2,0.69,{super--cili--ous}>ness>,NN
superficialities,16,16,2.77,{super--fici--al}>ity>>s>,NN
SUPRANATIONALISM,16,0,0,{supra}{nation}>al>>ism>,NN
subconsciousness,16,19,2.94,<sub<{consc--ious}>ness>,NN
standardizations,16,1,0,{standard}>ise>>ation>>s>,NN
spiritualization,16,5,1.61,{spirit}>ual>>ise>>ation>,NN
simultaneousness,16,0,0,{simultane--ous}>ness>,NN
sentimentalizing,16,0,0,{senti--ment}>al>>ise>>ing>,VB|NN|JJ
SEPTUAGENARIAN'S,16,0,0,NULL,NULL
scandalmongering,16,1,0,{scandal}{monger}>ing>,VB|NN|JJ
schoolmistresses,16,0,0,{school}{mistress}>s>,NN
remilitarization,16,2,0.69,<re<{militar--ize}>ation>,NN
respectabilities,16,1,0,{respect}>able>>ity>>s>,NN
quintessentially,16,36,3.58,{quint--essence}>ial>>ly>,RB
rambunctiousness,16,5,1.61,{rambunctious}>ness>,NN
psychopathically,16,3,1.1,{psycho--path}>ic>>ally>,RB
prognostications,16,49,3.89,{pro--gnos--tic}>ate>>ion>>s>,NN
prophylactically,16,17,2.83,{prophylactic}>ally>,RB
PROPYLTHIOURACIL,16,0,0,NULL,NULL
psychoanalytical,16,9,2.2,<psycho<{ana--lytic}>al>,JJ
praiseworthiness,16,2,0.69,{praise}>worth--y>>ness>,NN
prestidigitation,16,19,2.94,{presti--digit--ate}>ion>,NN
prestidigitators,16,7,1.95,{presti--digit--ate}>or>>s>,NN
politicalization,16,11,2.4,NULL,NULL
POLYELECTROLYTES,16,1,0,{poly}{electro--lyte}>s>,NN
polysyllabically,16,0,0,<poly<{syllab--ic}>ally>,RB
pornographically,16,2,0.69,{porn--ograph--ic}>al>>ly>,RB
phantasmagorical,16,10,2.3,NULL,NULL
pharmaceutically,16,27,3.3,{pharmac--eutic}>al>>ly>,RB
phosphorescently,16,0,0,{phosph--or--esce}>ent>>ly>,RB|JJ
PHOTOFLOODLIGHTS,16,0,0,{photo}{flood}{light}>s>,NN
photolithography,16,80,4.38,<photo<{litho--graph--y},NN
PHOTOMICROGRAPHY,16,0,0,{photo}{micro--graph--y},NN
photosensitizing,16,0,0,<photo<{sens--itize}>ing>,VB|NN|JJ
physiotherapists,16,9,2.2,<physio<{therap--ist}>s>,NN
periphrastically,16,0,0,{peri--phrastic}>ally>,RB
personalizations,16,11,2.4,{person}>al>>ise>>ation>>s>,NN
personifications,16,21,3.04,{person}>ify>>ation>>s>,NN
parsimoniousness,16,0,0,{parsimony}>ous>>ness>,NN
paleographically,16,0,0,{paleo--graph--ic}>al>>ly>,RB
paradigmatically,16,8,2.08,{paradigm}>atic>>ally>,RB
overcapitalizing,16,1,0,<over<{capit--al}>ise>>ing>,VB|NN|JJ
overcompensating,16,21,3.04,<over<{com--pens--ate}>ing>,VB|NN|JJ
OVEREXPLOITATION,16,8,2.08,<over<{exploit}>ation>,NN
ophthalmologists,16,78,4.36,NULL,NULL
orthographically,16,12,2.48,{ortho--graph--ic}>al>>ly>,RB
obstreperousness,16,0,0,{obstreperous}>ness>,NN
nationalizations,16,16,2.77,{nation}>al>>ise>>ation>>s>,NN
naturalistically,16,2,0.69,{natur--al}>ist>>ic>>ally>,RB
naturopathically,16,0,0,NULL,NULL
multifariousness,16,0,0,{multi--farious}>ness>,NN
narcissistically,16,12,2.48,{narciss--ist}>ic>>ally>,RB
monopolistically,16,9,2.2,{mono--pol--ist}>ic>>ally>,RB
monosyllabically,16,1,0,<mono<{syllab--ic}>ally>,RB
MONTMORILLONITES,16,0,0,NULL,NULL
militaristically,16,1,0,{militar--ist}>ic>{ally},NN|VB
misanthropically,16,2,0.69,{mis--anthrope}>ic>>ally>,RB
misapprehensions,16,25,3.22,<mis<{a--pprehend}>ion>>s>,NN
misappropriating,16,18,2.89,<mis<{a--ppropri--ate}>ing>,VB
misappropriation,16,125,4.83,<mis<{a--ppropri--ate}>ion>,NN
MISUNDERSTANDERS,16,0,0,NULL,NULL
melodramatically,16,18,2.89,{melo--drama}>tic>>ally>,RB
meretriciousness,16,1,0,{meretricious}>ness>,NN
methodologically,16,66,4.19,{method}>olog--ic>>al>>ly>,RB
microelectronics,16,1398,7.24,<micro<{electr--on}>ics>,NN
materializations,16,4,1.39,{material}>ise>>ation>>s>,NN
LEXICOSTATISTICS,16,1,0,NULL,NN
Liechtensteiners,16,0,0,NULL,NULL
lithographically,16,6,1.79,{litho--graph--ic}>al>>ly>,RB
KRYSTALLOGRAPHIE,16,0,0,NULL,NULL
journalistically,16,3,1.1,{journ--al}>ist>>ic>>ally>,RB
interdependently,16,12,2.48,NULL,RB
indiscriminately,16,380,5.94,<in<{discrimin--ate}>ly>,RB
indispensability,16,10,2.3,<in<{dis--pense}>able>>ity>,NN
INDUSTRALIZATION,16,0,0,NULL,NULL
inharmoniousness,16,0,0,<in<{harmon--y}>ous>>ness>,NN
insubordinations,16,6,1.79,<in<{sub--ordin--ate}>ion>>s>,NN
insurrectionists,16,8,2.08,{in--surrect--ion}>ist>>s>,NN
intensifications,16,1,0,{intense}>ify>>ation>>s>,NN
imperceptibility,16,0,0,<in<{per--cept}>able>>ity>,NN
imperturbability,16,3,1.1,<in<{per--turb}>able>>ity>,NN
impracticability,16,8,2.08,<in<{pract--ic--able}>ity>,NN
inarticulateness,16,4,1.39,<in<{articul--ate}>ness>,NN
inauspiciousness,16,0,0,<in<{auspice}>ous>>ness>,NN
incomprehensibly,16,40,3.69,<in<{com--prehend}>able>>y>,RB
inconceivability,16,2,0.69,<in<{con--ceive}>able>>ity>,NN
inconclusiveness,16,9,2.2,<in<{con--clude}>ive>>ness>,NN
incontestability,16,0,0,<in<{con--test}>able>>ity>,NN
incontrovertibly,16,17,2.83,<in<{contro--vert}>able>>y>,RB
inconvertibility,16,0,0,<in<{con--vert}>able>>ity>,NN
indemnifications,16,0,0,{indemn--ify}>ation>>s>,NN
HYPERCELLULARITY,16,0,0,{hyper}{cell--ule}>ar>>ity>,NN
hypersensitivity,16,250,5.52,<hyper<{sens--itive}>ity>,NN
HYPOTHALAMICALLY,16,1,0,{hypo--thalam--ic}{ally},NN|VB
homoeopathically,16,0,0,{homoeo--path}>ic>>ally>,RB
hospitalizations,16,45,3.81,{hospit--al}>ise>>ation>>s>,NN
GLOTTOCHRONOLOGY,16,2,0.69,NULL,NN
flibbertigibbets,16,0,0,{flibbertigibbet}>s>,NN
fictionalization,16,4,1.39,{fict--ion}>al>>ise>>ation>,NN
ethnographically,16,4,1.39,{ethno--graph--ic}>al>>ly>,RB
excommunications,16,5,1.61,{ex--commun--ic--ate}>ion>>s>,NN
exemplifications,16,3,1.1,{exempl--ify}>ation>>s>,NN
expressionlessly,16,1,0,{ex--press}>ion>>less>>ly>,RB
extemporaneously,16,12,2.48,{ex--tempor--aneous}>ly>,RB
extemporizations,16,0,0,{ex--tempor--ize}>ation>>s>,NN
externalizations,16,0,0,{ex--tern--al}>ise>>ation>>s>,NN
epigrammatically,16,1,0,{epi--gram}>atic>>ally>,RB
EINSATZKOMMANDOS,16,0,0,NULL,NULL
ELECTROTHERAPIST,16,0,0,NULL,NN
ENCEPHALOGRAPHIC,16,0,0,NULL,JJ
encyclopedically,16,1,0,{en--cyclo--ped--ic}{ally},NN|VB
ecclesiastically,16,1,0,{ecclesi--ast}>ic>>al>>ly>,RB
disingenuousness,16,22,3.09,<dis<{ingenu--ous}>ness>,NN
disreputableness,16,0,0,<dis<{re--pute}>able>>ness>,NN
differentiations,16,20,3,{differ}>ent>>ate>>ion>>s>,NN
DIMETHYLGLYOXIME,16,0,0,NULL,NULL
disafforestation,16,0,0,<dis<<a<{forest}>ation>,NN
disagreeableness,16,2,0.69,<dis<{agree}>able>>ness>,NN
discountenancing,16,1,0,<dis<{countenance}>ing>,VB
discourteousness,16,0,0,<dis<{courteous}>ness>,NN
disembarrassment,16,0,0,{dis}{embarrass}>ment>,NN
disenfranchising,16,20,3,<dis<<en<{franchise}>ing>,VB|NN|JJ
disfranchisement,16,6,1.79,<dis<{franchise}>ment>,NN
disillusionments,16,2,0.69,<dis<{illus--ion}>ment>>s>,NN
derequisitioning,16,0,0,<de<{re--quisite}>ion>>ing>,VB
dessertspoonfuls,16,0,0,{dessert}{spoon}>ful>>s>,NN
dessertspoonsful,16,0,0,NULL,NULL
diagrammatically,16,6,1.79,{diagram}>atic>>al>>ly>,RB
DEDIFFERENTIATED,16,6,1.79,NULL,NULL
demilitarization,16,85,4.44,<de<{militar--ize}>ation>,NN
Czechoslovakians,16,0,0,{czecho--slovak--ia}>n>>s>,NN
crystallizations,16,7,1.95,{crystal}>ise>>ation>>s>,NN
CRYSTALLOGRAPHIC,16,59,4.08,NULL,JJ
counterattackers,16,0,0,<counter<{attack}>er>>s>,NN
counterattacking,16,26,3.26,<counter<{attack}>ing>,VB|NN|JJ
counterirritants,16,1,0,NULL,NULL
consubstantiated,16,0,0,NULL,VB
consubstantiates,16,0,0,NULL,NULL
containerization,16,1,0,{con--tain}>er>>ise>>ation>,NN
contraindicating,16,1,0,<contra<{indic--ate}>ing>,VB
contraindication,16,119,4.78,<contra<{indic--ate}>ion>,NN
controversialism,16,0,0,{contro--versy}>al>>ism>,NN
controversialist,16,1,0,{contro--versy}>al>>ist>,NN|JJ
conversationally,16,27,3.3,{converse}>ation>>al>>ly>,RB
CONSANGUINEOUSLY,16,0,0,NULL,NULL
conservationists,16,94,4.54,{con--serve}>ation>>ist>>s>,NN
conspiratorially,16,29,3.37,{conspire}>ator>>ial>>y>,RB
constitutionally,16,1123,7.02,{con--stitute}>ion>>al>>ly>,RB
constructiveness,16,7,1.95,{con--struct}>ive>>ness>,NN
collaborationism,16,0,0,{col--labor--ate}>ion>>ism>,NN
collaborationist,16,15,2.71,{col--labor--ate}>ion>>ist>,NN|JJ
collectivization,16,38,3.64,{collect}>ive>>ise>>ation>,NN
CIRCONSCRIPTIONS,16,0,0,NULL,NULL
circumnavigating,16,18,2.89,<circum<{navig--ate}>ing>,VB|JJ|NN
circumstantially,16,11,2.4,{circum--stance}>ial>>ly>,RB
chauvinistically,16,6,1.79,{chauvin--ist}>ic>>ally>,RB
CHANCELLORSVILLE,16,46,3.83,NULL,NN
cantankerousness,16,0,0,{cantankerous}>ness>,NN
bureaucratically,16,14,2.64,{bureau--crat}>ic>>ally>,RB
bloodthirstiness,16,12,2.48,{blood}{thirst}>y>>ness>,NN
AUTOFLUORESCENCE,16,3,1.1,{auto}{fluor--esce}>ence>,NN
antagonistically,16,4,1.39,{antagon--ist}>ic>>ally>,RB
antepenultimates,16,0,0,NULL,NULL
antipathetically,16,0,0,{anti--path--etic}>ally>,RB
ANTIREDEPOSITION,16,0,0,{anti}<re<{de--pos--it}>ion>,NN
archaeologically,16,19,2.94,{archaeo--log--ical}>ly>,RB
agriculturalists,16,25,3.22,{agri--culture}>al>>ist>>s>,NN
undifferentiated,16,119,4.78,<un<{differ}>ent>>ate>>ed>,JJ
unconstitutional,16,3593,8.19,<un<{con--stitute}>ion>>al>,JJ
traditionalistic,16,0,0,{tradition}>al>>ist>>ic>,JJ
transcontinental,16,149,5,<trans<{contin--ent}>al>,JJ
superintendent's,16,30,3.4,NULL,NULL
steprelationship,16,0,0,{step}{relate}>ion>>ship>,NN
shortsightedness,16,52,3.95,{short}{sight}>ed>>ness>,NN
semiquantitative,16,1,0,{semi}{quant--itative},JJ
representational,16,165,5.11,{represent}>ation>>al>,JJ
responsibilities,16,12837,9.46,{responsible}>ity>>s>,NN
reclassification,16,44,3.78,<re<{class}>ify>>ation>,NN
rationalizations,16,309,5.73,{rationale}>ise>>ation>>s>,NN
psychotherapists,16,84,4.43,<psycho<{therap--ist}>s>,NN
predetermination,16,26,3.26,<pre<{determine}>ation>,NN
photographically,16,52,3.95,{photo--graph--ic}>al>>ly>,RB
piezoelectricity,16,4,1.39,NULL,NN
phenomenological,16,133,4.89,{phenomen--olog--ical},JJ
parliamentarians,16,231,5.44,{parliament}>ary>>an>>s>,NN
overcompensation,16,16,2.77,<over<{com--pens--ate}>ion>,NN
organizationally,16,49,3.89,{organ--ize}>ation>>al>>ly>,RB
nonproliferation,16,122,4.8,<non<{proliferate}>ion>,NN
